FID,geom,projectid,plotid,kopid,plotnummer,plotnaam,jaar,euring,naam,aantal,broedcode,opmerking
ext_nat_monvogblvmtnter010021.1,POINT (64394.414185527654 401520.85710462555),252,9850,151158,3931,Winkelz-watergang,2018,6680,Holenduif,1,2,
ext_nat_monvogblvmtnter010021.2,POINT (65399.49273271591 401436.27965591673),252,9850,151158,3931,Winkelz-watergang,2018,4500,Scholekster,1,13,
ext_nat_monvogblvmtnter010021.3,POINT (64152.14976041649 401341.4443999769),252,9850,151158,3931,Winkelz-watergang,2018,10171,Gele Kwikstaart,1,2,
ext_nat_monvogblvmtnter010021.4,POINT (64852.05473257492 401019.86425183626),252,9850,151158,3931,Winkelz-watergang,2018,12510,Kleine Karekiet,1,2,
ext_nat_monvogblvmtnter010021.5,POINT (64600.23110441111 401038.8781992914),252,9850,151158,3931,Winkelz-watergang,2018,11060,Blauwborst,1,2,
ext_nat_monvogblvmtnter010021.6,POINT (64000.43974420792 401249.0577513296),252,9850,151158,3931,Winkelz-watergang,2018,10110,Graspieper,1,7,
ext_nat_monvogblvmtnter010021.7,POINT (63986.944956032545 401210.75660815235),252,9850,151158,3931,Winkelz-watergang,2018,10110,Graspieper,1,7,
ext_nat_monvogblvmtnter010021.8,POINT (64683.662862964076 401094.9825818568),252,9850,151158,3931,Winkelz-watergang,2018,10840,Heggenmus,1,2,
ext_nat_monvogblvmtnter010021.9,POINT (64880.47158641106 400925.9234657529),252,9850,151158,3931,Winkelz-watergang,2018,12760,Tuinfluiter,1,2,
ext_nat_monvogblvmtnter010021.10,POINT (64713.943397139796 401056.0576102012),252,9850,151158,3931,Winkelz-watergang,2018,14640,Koolmees,1,14,
ext_nat_monvogblvmtnter010021.11,POINT (64693.68718726895 401042.21167001355),252,9850,151158,3931,Winkelz-watergang,2018,16360,Vink,1,2,
ext_nat_monvogblvmtnter010021.12,POINT (63949.83878582629 401226.49144101667),252,9850,151158,3931,Winkelz-watergang,2018,12430,Rietzanger,1,2,
ext_nat_monvogblvmtnter010021.13,POINT (64795.13172370466 400912.61343881255),252,9850,151158,3931,Winkelz-watergang,2018,16600,Kneu,1,2,
ext_nat_monvogblvmtnter010021.14,POINT (64765.95494779339 400931.4695203007),252,9850,151158,3931,Winkelz-watergang,2018,12750,Grasmus,1,2,
ext_nat_monvogblvmtnter010021.15,POINT (64685.01390384573 400922.4403651232),252,9850,151158,3931,Winkelz-watergang,2018,10660,Winterkoning,1,2,
ext_nat_monvogblvmtnter010021.16,POINT (64890.983930335 401034.42048378976),252,9850,151158,3931,Winkelz-watergang,2018,13120,Fitis,1,2,
ext_nat_monvogblvmtnter010021.17,POINT (63765.74885257523 401239.43474976317),252,9850,151158,3931,Winkelz-watergang,2018,1940,Slobeend,1,1,
ext_nat_monvogblvmtnter010021.18,POINT (64821.03067972907 400923.6010348333),252,9850,151158,3931,Winkelz-watergang,2018,16490,Groenling,1,2,
ext_nat_monvogblvmtnter010021.19,POINT (64369.47248159662 401522.9504971105),252,9850,151158,3931,Winkelz-watergang,2018,11870,Merel,1,2,
ext_nat_monvogblvmtnter010021.20,POINT (64168.655527494426 401166.2495651914),252,9850,151158,3931,Winkelz-watergang,2018,1520,Knobbelzwaan,1,3,
ext_nat_monvogblvmtnter010021.21,POINT (64875.92263406623 401543.0591466351),252,9850,151158,3931,Winkelz-watergang,2018,4500,Scholekster,1,13,
ext_nat_monvogblvmtnter010021.22,POINT (64536.12802171959 401095.3302600618),252,9850,151158,3931,Winkelz-watergang,2018,1610,Grauwe Gans,1,3,
ext_nat_monvogblvmtnter010021.23,POINT (65588.65517661096 401143.3497482434),252,9850,151158,3931,Winkelz-watergang,2018,12510,Kleine Karekiet,1,2,
ext_nat_monvogblvmtnter010021.24,POINT (64477.65143881283 401123.35811188444),252,9850,151158,3931,Winkelz-watergang,2018,1610,Grauwe Gans,1,3,
ext_nat_monvogblvmtnter010021.25,POINT (64383.594332827895 401193.9076422941),252,9850,151158,3931,Winkelz-watergang,2018,1610,Grauwe Gans,1,3,
ext_nat_monvogblvmtnter010021.26,POINT (63839.436694034084 401224.0111325732),252,9850,151158,3931,Winkelz-watergang,2018,2030,Kuifeend,1,3,
ext_nat_monvogblvmtnter010021.27,POINT (65683.87206506898 401191.2176018173),252,9850,151158,3931,Winkelz-watergang,2018,1820,Krakeend,1,3,
ext_nat_monvogblvmtnter010021.28,POINT (64620.915996508644 401219.3890566102),252,9850,151158,3931,Winkelz-watergang,2018,2030,Kuifeend,1,3,
ext_nat_monvogblvmtnter010021.29,POINT (64951.300206997155 401752.63463927875),252,9850,151158,3931,Winkelz-watergang,2018,1860,Wilde Eend,1,3,
ext_nat_monvogblvmtnter010021.30,POINT (63784.718545621436 401226.9930921315),252,9850,151158,3931,Winkelz-watergang,2018,1820,Krakeend,1,3,
ext_nat_monvogblvmtnter010021.31,POINT (64061.72155403931 401004.2117634079),252,9850,151158,3931,Winkelz-watergang,2018,1860,Wilde Eend,1,3,
ext_nat_monvogblvmtnter010021.32,POINT (65128.999962410104 401054.30524142),252,9850,151158,3931,Winkelz-watergang,2018,1860,Wilde Eend,1,3,
ext_nat_monvogblvmtnter010021.33,POINT (64196.87754284516 401170.72497116926),252,9850,151158,3931,Winkelz-watergang,2018,1860,Wilde Eend,1,3,
ext_nat_monvogblvmtnter010021.34,POINT (65726.59120249402 401110.2204980746),252,9850,151158,3931,Winkelz-watergang,2018,4240,Waterhoen,1,3,
ext_nat_monvogblvmtnter010021.35,POINT (65099.10720604575 401303.02450924634),252,9850,151158,3931,Winkelz-watergang,2018,6680,Holenduif,1,2,
ext_nat_monvogblvmtnter010021.36,POINT (65300.212479690774 401571.5149738474),252,9850,151158,3931,Winkelz-watergang,2018,6680,Holenduif,1,3,
ext_nat_monvogblvmtnter010021.37,POINT (64228.504665450426 401142.2961092049),252,9850,151158,3931,Winkelz-watergang,2018,12430,Rietzanger,1,2,
ext_nat_monvogblvmtnter010021.38,POINT (64576.000161671735 401237.7158662098),252,9850,151158,3931,Winkelz-watergang,2018,10171,Gele Kwikstaart,1,2,
ext_nat_monvogblvmtnter010021.39,POINT (64137.906507407635 401296.3429447585),252,9850,151158,3931,Winkelz-watergang,2018,10171,Gele Kwikstaart,1,2,
ext_nat_monvogblvmtnter010021.40,POINT (65147.037467242306 401064.99374998163),252,9850,151158,3931,Winkelz-watergang,2018,18770,Rietgors,1,2,
ext_nat_monvogblvmtnter010021.41,POINT (64088.11360855105 401357.2686778239),252,9850,151158,3931,Winkelz-watergang,2018,16600,Kneu,1,2,
ext_nat_monvogblvmtnter010021.42,POINT (63946.13995091646 401224.98208936345),252,9850,151158,3931,Winkelz-watergang,2018,12430,Rietzanger,1,2,
ext_nat_monvogblvmtnter010021.43,POINT (63822.52201774418 401237.01807842246),252,9850,151158,3931,Winkelz-watergang,2018,1730,Bergeend,1,5,
ext_nat_monvogblvmtnter010021.44,POINT (63805.852153520405 401222.41599768226),252,9850,151158,3931,Winkelz-watergang,2018,12510,Kleine Karekiet,1,2,
ext_nat_monvogblvmtnter010021.45,POINT (63667.771979648154 401151.80974592397),252,9850,151158,3931,Winkelz-watergang,2018,12770,Zwartkop,1,2,
ext_nat_monvogblvmtnter010021.46,POINT (64130.957999222344 401180.1627587261),252,9850,151158,3931,Winkelz-watergang,2018,18770,Rietgors,1,2,
ext_nat_monvogblvmtnter010021.47,POINT (63701.225019013626 401112.70549770584),252,9850,151158,3931,Winkelz-watergang,2018,3940,Fazant,1,2,
ext_nat_monvogblvmtnter010021.48,POINT (64161.009107944614 401181.6846064518),252,9850,151158,3931,Winkelz-watergang,2018,4290,Meerkoet,1,12,
ext_nat_monvogblvmtnter010021.49,POINT (63994.97468729527 401219.1875765299),252,9850,151158,3931,Winkelz-watergang,2018,11060,Blauwborst,1,2,
ext_nat_monvogblvmtnter010021.50,POINT (64013.386767647215 401021.0993512616),252,9850,151158,3931,Winkelz-watergang,2018,12500,Bosrietzanger,1,2,
ext_nat_monvogblvmtnter010021.51,POINT (64836.11474087571 400913.29506421345),252,9850,151158,3931,Winkelz-watergang,2018,10840,Heggenmus,1,2,
ext_nat_monvogblvmtnter010021.52,POINT (64945.68856259981 400905.5208920328),252,9850,151158,3931,Winkelz-watergang,2018,11870,Merel,1,2,
ext_nat_monvogblvmtnter010021.53,POINT (64507.045867211535 401071.39856630965),252,9850,151158,3931,Winkelz-watergang,2018,12430,Rietzanger,1,2,
ext_nat_monvogblvmtnter010021.54,POINT (64812.10776405413 401039.3988153942),252,9850,151158,3931,Winkelz-watergang,2018,10660,Winterkoning,1,2,
ext_nat_monvogblvmtnter010021.55,POINT (64462.363518620215 401089.8389954822),252,9850,151158,3931,Winkelz-watergang,2018,2600,Bruine Kiekendief,1,7,
ext_nat_monvogblvmtnter010021.56,POINT (64553.3630547932 401286.794110373),252,9850,151158,3931,Winkelz-watergang,2018,11060,Blauwborst,1,2,
ext_nat_monvogblvmtnter010021.57,POINT (64840.659472088184 401323.7895310939),252,9850,151158,3931,Winkelz-watergang,2018,10110,Graspieper,1,2,
ext_nat_monvogblvmtnter010021.58,POINT (64570.36347378501 401063.19428785035),252,9850,151158,3931,Winkelz-watergang,2018,12430,Rietzanger,1,2,
ext_nat_monvogblvmtnter010021.59,POINT (64413.04013716946 401297.6547460157),252,9850,151158,3931,Winkelz-watergang,2018,12510,Kleine Karekiet,1,2,
ext_nat_monvogblvmtnter010021.60,POINT (65390.09226913417 401160.73171647533),252,9850,151158,3931,Winkelz-watergang,2018,10110,Graspieper,1,2,
ext_nat_monvogblvmtnter010021.61,POINT (64680.22179361379 401039.04539620556),252,9850,151158,3931,Winkelz-watergang,2018,16490,Groenling,1,2,
